term,definition
survival,выживание; сохранение
survive,выживать; переживать
suspect,подозревать; подозреваемый
suspend,приостанавливать; подвешивать
sustain,поддерживать; сохранять
swear,клясться; ругаться
sweep,мести; быстро двигаться
sweet,сладкий; милый
swim,плавать
swing,качаться; качели
switch,переключатель; переключать
symbol,символ; знак
symptom,симптом; признак
system,система; устройство
table,стол; таблица
tackle,решать; биться; снаряжение
tail,хвост; следовать
take,брать; принимать
tale,рассказ; история
talent,талант; дарование
talk,разговор; говорить
tall,высокий
tank,танк; резервуар
tap,кран; постукивать
tape,лента; записывать
target,цель; мишень
task,задача; задание
taste,вкус; пробовать
tax,налог
taxi,такси
tea,чай
teach,учить; преподавать
teacher,учитель; преподаватель
team,команда; коллектив
tear,слеза; рвать
technical,технический
technique,техника; метод
technology,технология; техника
teenager,подросток; тинейджер
telephone,телефон; звонить
television,телевидение; телевизор
tell,говорить; рассказывать; сказать
temperature,температура
temporary,временный
tend,иметь склонность; заботиться
tendency,тенденция; склонность
tender,нежный; мягкий; чувствительный
tennis,теннис
tension,напряжение; напряжённость
tent,палатка
term,срок; термин; семестр
terrible,ужасный; страшный
territory,территория
terrorist,террорист
test,тест; проверка; экзамен
text,текст; сообщение
than,чем
thank,благодарить
that,тот; что
the,(артикль)
theater,театр
theme,тема
themselves,сами; себя
then,тогда; затем
theoretical,теоретический
theory,теория
therapy,терапия; лечение
there,там; туда
therefore,следовательно; поэтому
they,они
thick,толстый; густой
thin,тонкий; худой
thing,вещь; предмет
think,думать; считать
thirst,жажда
this,этот; это
though,хотя; однако
threat,угроза
threaten,угрожать
throat,горло
through,через; сквозь
throughout,по всему; повсюду
throw,бросать
thus,таким образом; следовательно
ticket,билет
tie,галстук; связывать; ничья
tight,тугой; плотный
till,до; пока
time,время
tiny,крошечный; очень маленький
tip,кончик; совет; чаевые
tire,шина; уставать
tissue,ткань; салфетка
title,название; заголовок; титул
to,к; до; чтобы
today,сегодня
together,вместе
tomorrow,завтра
tone,тон; оттенок
tongue,язык
tonight,сегодня вечером
too,тоже; слишком
tool,инструмент; орудие
tooth,зуб
top,верх; вершина
topic,тема
total,всего; полный
totally,полностью; совершенно
touch,касаться; прикосновение
tough,жёсткий; трудный
tour,тур; экскурсия
tourism,туризм
tourist,турист
tournament,турнир
toward,по направлению к; к
tower,башня
town,городок; город
toy,игрушка
trace,след; отслеживать
track,дорожка; трек; следить
trade,торговля; обмен
tradition,традиция
traditional,традиционный
traffic,движение; трафик
trail,тропа; след
train,поезд; тренировать
transfer,переводить; переносить
transform,преобразовывать
transition,переход
translate,переводить
transport,транспорт; перевозить
transportation,транспортировка; перевозка
trap,ловушка; захватывать
travel,путешествовать
treat,лечить; обращаться; угощать
treatment,лечение; обращение
tree,дерево
trend,тенденция; тренд
trial,судебное разбирательство; испытание; пробный
trick,трюк; обман; хитрость
trigger,спусковой крючок; вызывать; запускать
trip,поездка; спотыкаться; путешествие
troop,войска; отряд; группа
trouble,проблема; неприятность; беспокойство
truck,грузовик; фургон
true,правдивый; верный; настоящий
truly,действительно; по-настоящему; искренне
trust,доверять; доверие; вера
truth,правда; истина
try,пытаться; пробовать; стараться
tube,трубка; тюбик; метро (брит.)
tune,мелодия; настраивать; настройка
turn,поворот; очередь; поворачивать
twice,дважды; в два раза
twin,близнец; двойной
twist,крутить; поворот; скручивать
type,тип; вид; печатать
typical,типичный; характерный
typically,обычно; как правило
ugly,уродливый; неприятный
ultimately,в конечном счёте; в итоге
unable,неспособный; не в состоянии
uncertainty,неопределённость; сомнение
uncle,дядя
unclear,неясный; непонятный
under,под; ниже; в процессе
undergo,претерпевать; проходить (процедуру)
underlie,лежать в основе; быть причиной
understand,понимать; осознавать
undertake,предпринимать; брать на себя
unemployment,безработица
unfortunately,к сожалению
uniform,форма; одинаковый; единообразный
union,союз; объединение
unique,уникальный; единственный
unit,единица; блок; подразделение
unite,объединять; соединять
universal,универсальный; всеобщий
universe,вселенная; мир
university,университет
unknown,неизвестный; незнакомый
unless,если не; пока не
unlike,в отличие от; не похожий
unlikely,маловероятный; вряд ли
until,до тех пор пока; пока не
unusual,необычный; редкий
up,вверх; выше; подняться
update,обновлять; обновление
upon,на; после; при
upper,верхний; высший
upset,расстроенный; огорчать; расстройство
urban,городской
urge,побуждать; настоятельно рекомендовать; порыв
use,использовать; употребление
useful,полезный
user,пользователь
usual,обычный; привычный
usually,обычно; как правило
valley,долина
valuable,ценный; полезный
value,ценность; значение; оценивать
van,фургон; микроавтобус
variable,переменный; изменчивый; переменная
variation,вариация; изменение
variety,разнообразие; множество
various,различный; разнообразный
vary,различаться; изменяться
vast,обширный; огромный
vegetable,овощ; растение
vehicle,транспортное средство; машина
venture,предприятие; рискованное дело; рисковать
verb,глагол
version,версия; вариант
versus,против; в сравнении с
very,очень; самый; именно
vessel,сосуд; корабль
veteran,ветеран; опытный
via,через; посредством
vice,порок; заместитель
victim,жертва
victory,победа
video,видео; видеозапись
view,вид; взгляд; рассматривать
village,деревня
violence,насилие
violent,жестокий; сильный
virtually,практически; фактически
virus,вирус
visible,видимый; заметный
vision,зрение; видение
visit,посещать; визит
visitor,посетитель
visual,визуальный; зрительный
vital,жизненно важный; существенный
voice,голос; выражать
volume,объём; том; громкость
voluntary,добровольный
volunteer,волонтёр; доброволец; предлагать помощь
vote,голосовать; голос
voter,избиратель
wage,зарплата; заработная плата
wait,ждать; ожидать
wake,просыпаться; будить
walk,ходить; гулять
wall,стена
wander,бродить; блуждать
want,хотеть; желать
war,война
warm,тёплый; согревать
warn,предупреждать; предупреждение
wash,мыть; стирать
waste,тратить впустую; отходы
watch,смотреть; часы
water,вода; поливать
wave,волна; махать
way,путь; способ
we,мы
weak,слабый
weakness,слабость; недостаток
wealth,богатство
wealthy,богатый
weapon,оружие
wear,носить (одежду); изнашивать
weather,погода
web,сеть; паутина
website,вебсайт; сайт
wed,жениться; выходить замуж
week,неделя
weekend,выходные
weekly,еженедельный
weigh,весить; взвешивать
weight,вес
weird,странный; необычный
welcome,добро пожаловать; приветствовать
welfare,благосостояние; социальная помощь
well,хорошо; колодец
west,запад
western,западный
wet,мокрый; влажный
what,что
whatever,что бы ни; всё; что
wheel,колесо
when,когда
whenever,всякий раз; когда
where,где
whereas,в то время как; тогда как
wherever,где бы ни
whether,ли; будь то
which,который
while,пока; в то время как
whilst,пока; в то время как
whisper,шептать; шёпот
white,белый
who,кто
whole,целый; весь
why,почему
wide,широкий
widely,широко
wife,жена
wild,дикий
will,воля; буду (вспомогательный глагол)
win,выигрывать; побеждать
wind,ветер; заводить (часы)
window,окно
wine,вино
wing,крыло
winner,победитель
winter,зима
wipe,вытирать; стирать
wire,провод; проволока
wise,мудрый
wish,желать; желание
with,с; вместе с
withdraw,снимать (деньги); уходить
within,в пределах; внутри
without,без
witness,свидетель; быть свидетелем
woman,женщина
wonder,удивляться; чудо
wonderful,замечательный; чудесный
wood,дерево; лес
wooden,деревянный
word,слово
work,работать; работа
worker,работник; рабочий
world,мир
worry,волноваться; беспокоиться
worth,стоимость; заслуживающий
would,бы (вспомогательный глагол)
wound,рана; ранить
wrap,заворачивать; обёртывать
write,писать
writer,писатель
wrong,неправильный; ошибка
yard,двор; участок
yeah,да (разговорное)
year,год
yellow,жёлтый
yes,да; конечно; согласен
yesterday,вчера
yet,еще; уже; однако
yield,уступать; приносить (урожай; прибыль); поддаваться
you,ты; вы
young,молодой; юный
yourself,себя; сам; себе
youth,молодость; юность; молодой человек
zone,зона; район; область
