term,definition
role,the function or part played by someone
roll,to move by turning over and over
romantic,relating to love or strong feelings
roof,the top covering of a building
room,a space inside a building for use
root,the part of a plant underground
rose,a type of flower with thorns
rough,not smooth or even in texture
roughly,approximately or in a rough way
round,shaped like a circle or sphere
route,a way or path to a place
routine,a regular or usual way of doing things
row,a line of things or people
royal,relating to a king or queen
ruin,to destroy or damage completely
rule,a guideline or control to follow
run,to move quickly on foot
rural,relating to the countryside
rush,to move quickly or hurry
sad,feeling unhappy or sorrowful
safe,protected from harm or danger
safety,the condition of being safe
sail,to travel on water using a boats sails
sake,for the purpose or benefit of something
salary,money paid regularly for work done
sale,the act of selling something
salt,a common white seasoning or mineral
same,identical or not different
sample,a small part representing the whole
sanction,official permission or penalty for action
sand,small grains of rock found on beaches
satisfaction,the feeling of being pleased or content
satisfy,to make someone feel pleased or content
save,to keep safe or store for later use
say,to speak words aloud
scale,a tool for measuring weight or size
scan,to look over quickly or examine closely
scare,to cause fear or frighten someone
scene,a part of a play or event location
schedule,a plan of times for events or tasks
scheme,a secret or clever plan
scholar,a person who studies and knows a lot
school,a place where people learn
science,the study of the natural world
scientific,related to science or careful study
scientist,a person who studies science
scope,the range or extent of something
score,to gain points in a game or test
scream,to shout loudly in fear or pain
screen,a flat surface for showing images or a barrier
sea,a large body of salt water
seal,an animal or to close something tightly
search,to look carefully for something
season,one of the four parts of the year
seat,a place to sit
second,the unit of time or the position after first
secondary,coming after the first in importance or order
secondly,used to introduce the second point
secret,something kept hidden or unknown
secretary,a person who helps with office work
section,a part of something larger
sector,a part or division of an area or economy
secure,to make safe or protect
security,protection from danger or harm
see,to use your eyes to look at something
seed,a small part from which a plant grows
seek,to look for or try to find
seem,to appear to be something
segment,a part or piece of something whole
select,to choose from a group
selection,the act of choosing or a chosen group
self,a persons own identity or being
sell,give something for money
send,cause to go or be taken somewhere
senior,older or higher in rank or status
sense,ability to feel or understand something
sensitive,easily affected or hurt by something
sentence,a group of words expressing a complete thought
separate,to cause to be apart or divided
sequence,a particular order of things or events
series,a number of similar things in order
serious,important or not joking
seriously,in a thoughtful or sincere way
servant,a person who works for another person
serve,to provide or offer help or food
server,a person or computer that provides services
service,work done to help or serve others
session,a period of time set for an activity
set,a group of things considered together
settle,to resolve or make a place home
settlement,an agreement or a small community
several,more than two but not many
severe,very bad or intense
sex,the state of being male or female
sexual,relating to sex or reproduction
shade,a slight darkness caused by blocking light
shadow,a dark shape made by blocking light
shake,to move quickly back and forth
shall,used to express future action or intention
shape,the form or outline of something
share,to divide and give part to others
shareholder,a person who owns part of a company
sharp,having a thin edge or point
she,used to refer to a female person
sheep,a woolly farm animal
sheet,a large piece of cloth or paper
shelf,a flat board for holding things
shell,the hard outer covering of something
shelter,a place giving protection or safety
shift,to move or change position
shine,to give off light or brightness
ship,a large boat for traveling on water
shirt,a piece of clothing worn on the upper body
shock,a sudden surprise or strong feeling
shoe,a covering for the foot
shoot,to fire a gun or take a photo
shop,a place to buy goods
shore,land along the edge of a sea or lake
short,not long in length or duration
shot,an attempt to hit or shoot something
should,used to indicate obligation or advice
shoulder,the part of the body between neck and arm
shout,to say something loudly
show,to display or allow to be seen
shower,a brief fall of rain or a bathroom fixture
shut,to close something
sick,ill or unwell
side,a surface or part of something
sigh,to breathe out slowly expressing tiredness or sadness
sight,the ability to see or something seen
sign,a symbol or notice giving information
signal,a gesture or sound to convey information
significance,importance or meaning of something
significant,important or meaningful
significantly,in an important or noticeable way
silence,complete absence of sound
silent,not making any sound
silly,showing a lack of good sense or foolish
silver,a shiny gray-white metal
similar,almost the same but not exactly
similarly,in a like manner
simple,easy to understand or do
simply,in a straightforward or plain way
since,from a past time until now
sing,to make musical sounds with the voice
singer,a person who sings
"single","one only, not one of several"
sink,to go down below the surface of water
sir,a polite form of address for a man
sister,a female sibling
sit,to rest with the body supported by the buttocks
site,a location or place
situate,to place or locate in a particular position
situation,a set of circumstances or conditions
size,how big or small something is
ski,to glide on snow using skis
skill,the ability to do something well
skin,the outer layer covering the body
skirt,a piece of clothing worn around the waist
sky,the space above the earth seen from below
slave,a person owned and controlled by another
sleep,to rest with eyes closed and unconscious
"slice","a thin, flat piece cut from something"
slide,to move smoothly over a surface
slight,small in degree or amount
slightly,a little bit or to a small extent
slip,to slide accidentally and lose balance
"slope","a surface that is not flat, inclined"
slow,moving or happening at a low speed
slowly,at a low speed or pace
small,not large in size or amount
smart,intelligent or well-dressed
smell,to sense an odor with the nose
smile,to make a happy or friendly facial expression
smoke,the visible gas from burning material
smooth,having an even and regular surface
snap,to break suddenly with a sharp sound
snow,frozen white flakes falling from the sky
so,to a great extent or degree
social,relating to people and their interactions
society,a group of people living together
soft,not hard or firm to the touch
software,programs used by a computer
soil,the top layer of earth where plants grow
solar,relating to the sun
soldier,a person who serves in the army
solid,firm and stable in shape
solution,an answer to a problem
solve,to find an answer or explanation
some,an unspecified amount or number
somebody,an unknown or unspecified person
somehow,in a way that is not known or clear
someone,an unknown or unspecified person
something,an unknown or unspecified thing
sometimes,at certain times but not always
somewhat,to a small degree or extent
somewhere,in or at an unknown place
son,a male child of parents
song,a short piece of music with words
soon,in a short time from now
sorry,feeling regret or apology
sort,a type or kind of something
soul,the spiritual part of a person
sound,vibrations heard by the ear
source,the place where something begins
south,the direction opposite of north
southern,located in the south part
space,the area beyond the earths atmosphere
spare,extra or available to use
speak,to say words aloud
speaker,a person who talks or a device that plays sound
special,different from usual or ordinary
specialist,a person skilled in one area
specialize,to focus on one area of work
species,a group of similar living things
specific,clearly defined or identified
specifically,in a clear and exact way
specify,to state something clearly and exactly
speech,the act of talking or a formal talk
speed,how fast something moves
spell,to name or write letters in order
spend,to use money or time
spin,to turn around quickly
spirit,the non-physical part of a person
split,to divide into parts
sponsor,a person or group that supports something
sport,a physical game or activity
spot,a small mark or place
spread,to open or move over a larger area
spring,the season after winter or to jump up
square,a shape with four equal sides
stability,the state of being steady or firm
stable,a building for keeping horses or animals
staff,a group of workers or employees
stage,a raised platform for performances
stain,a mark that is hard to remove
stair,a step or set of steps
stake,a wooden or metal post in the ground
stamp,a small piece of paper for mailing letters
stand,to be upright on your feet
standard,a level of quality or measurement
star,a bright point of light in the sky
stare,to look at something fixedly
start,to begin or set in motion
state,a condition or a country or region
statement,a clear expression of something said or written
station,a place where services or transport stop
statistic,a number representing data or information
status,a persons social or professional position
stay,to remain in a place temporarily
steady,firmly fixed or not changing
steal,to take something without permission
steel,a strong metal made from iron
stem,the main stalk of a plant
step,to lift and set down a foot
stick,a thin piece of wood
still,not moving or making a sound
stimulate,to encourage activity or growth
stir,to mix by moving a spoon or stick
stock,goods kept for sale or supply
stomach,the organ that digests food
stone,a small hard piece of rock
stop,to cease moving or doing something
storage,a place or method for keeping things
store,a place where goods are sold
storm,a violent weather event with wind and rain
story,a description of events or a tale
straight,not bent or curved
strain,to stretch or pull tightly
strange,unusual or surprising
stranger,a person you do not know
strategy,a plan for achieving a goal
"stream","a small, flowing body of water"
street,a public road in a city or town
strength,the quality of being strong or powerful
strengthen,to make stronger or more powerful
stress,pressure or tension on a person or thing
stretch,to make something longer or wider
strict,demanding that rules are followed exactly
strike,to hit or attack someone or something
string,a thin piece of twisted thread or cord
strip,to remove clothes or coverings from something
stroke,a gentle movement of the hand over a surface
strong,having great physical power or force
strongly,in a powerful or forceful way
structural,relating to the arrangement of parts in something
structure,the way parts are arranged or organized
struggle,to try very hard to do something difficult
student,a person who is learning at a school or college
"studio","a room where art, music, or work is done"
study,to spend time learning about a subject
stuff,things or materials of various kinds
stupid,lacking intelligence or common sense
style,a particular way of doing or presenting something
subject,a person or thing being discussed or studied
submit,to give something for approval or consideration
subsequent,coming after something else in time
subsequently,happening after something else has occurred
substance,a type of material or matter
substantial,large in amount or importance
substitute,a person or thing that takes the place of another
succeed,to achieve a desired result or goal
success,the achievement of a goal or aim
successful,having achieved a desired result
successfully,in a way that achieves a goal
such,of the type or kind just mentioned
sudden,happening quickly without warning
suddenly,happening quickly and unexpectedly
"suffer","to experience pain, loss, or hardship"
sufficient,enough to meet the need or purpose
sugar,a sweet substance used in food and drinks
suggest,to offer an idea or plan for consideration
suggestion,an idea or plan offered for consideration
suit,a set of clothes worn together
suitable,right or appropriate for a purpose
sum,the total amount or number
summarize,to give a brief statement of main points
summary,a short statement of the main points
summer,the warmest season of the year
sun,the star that gives light and heat to Earth
supplement,something added to complete or improve
supplier,a person or company that provides goods
supply,to provide what is needed or wanted
support,to give help or assistance
supporter,a person who backs or helps someone
suppose,to think or assume something is true
sure,certain or confident about something
surely,used to express confidence or surprise
surface,the outer or top layer of something
surgery,medical treatment involving an operation
surprise,an unexpected event or feeling
surprisingly,in a way that causes surprise
surround,to be all around something
survey,to look over or examine carefully
survival,the act of staying alive
survive,to continue living after danger or difficulty
suspect,to think someone may be guilty or true
suspend,to temporarily stop or hang something
sustain,to keep something going or maintain
swear,to promise seriously or use bad language
sweep,to clean by brushing away dirt
sweet,having a sugary taste or kind nature
swim,to move through water using limbs
swing,to move back and forth or hang loosely
switch,to change from one thing to another
symbol,a sign that represents something else
symptom,a sign of illness or problem
system,a group of connected parts working together
table,a piece of furniture with a flat top
tackle,to try to deal with a problem or catch someone
tail,the rear part of an animal or object
take,to get or hold something from a place or person
tale,a story about real or imaginary events
talent,a natural ability to do something well
talk,to speak or have a conversation
tall,having great height
tank,a large container for holding liquid or gas
tap,a device for controlling water flow
tape,a narrow strip used for sticking things
target,an object aimed at or intended to hit
task,a piece of work to be done
taste,the sense that detects flavors
tax,money paid to the government
taxi,a car for hire with a driver
tea,a hot drink made from leaves
teach,to help someone learn something
teacher,a person who helps others learn
team,a group working together
tear,to rip or pull apart
technical,relating to a specific skill or field
technique,a way of doing something skillfully
technology,tools and machines used to solve problems
teenager,a person aged 13 to 19 years
telephone,a device for talking over distances
television,a device for watching shows and news
tell,to say something to someone
temperature,how hot or cold something is
temporary,lasting for a short time
tend,to usually do or be likely to do
tendency,a usual way of behaving or thinking
tender,showing gentleness or care
tennis,a sport played with rackets and a ball
tension,mental or emotional strain
tent,a portable shelter made of cloth
term,a word or phrase with a specific meaning
terrible,very bad or unpleasant
territory,an area of land controlled by someone
terrorist,a person who uses violence for political aims
test,a way to check knowledge or ability
"text","written words, especially in a book or message"
than,used to compare two things
thank,to express gratitude to someone
that,used to identify a specific person or thing
the,used to refer to something already known
theater,a place where plays or movies are shown
theme,main subject or idea of something
themselves,refers back to a group of people
then,at that time or next in order
theoretical,based on ideas rather than practice
theory,an idea explaining something
therapy,treatment to help with health problems
there,in or at that place
therefore,for that reason or so
they,used to refer to people or things
thick,having a large distance between sides
thin,having little distance between sides
thing,an object or item
think,to use your mind to decide or believe
thirst,a need to drink something
this,used to show something close or present
though,despite the fact or although
threat,a warning of possible harm
threaten,to say you will cause harm
throat,the front part inside your neck
through,from one side to the other
throughout,in every part of something
throw,to send something through the air by hand
thus,in this way or so
ticket,a paper or card for entry or travel
tie,to fasten with a string or rope
tight,fitting closely without space
till,up to the time of
time,a measured period or moment
tiny,very small in size
tip,the pointed end or a small piece of advice
tire,to become weary or a rubber covering for a wheel
tissue,a piece of soft paper or body cells
"title","the name of a book, movie, or work"
to,used to show direction or purpose
today,on this day or the present day
together,with each other or in one place
tomorrow,the day after today
tone,the quality or sound of a voice or music
tongue,the muscle inside the mouth used for tasting and speaking
tonight,during the night of this day
"too","also, more than enough"
tool,a device used to do work or make things
tooth,a hard part in the mouth used for biting
top,the highest part or point of something
topic,the subject being discussed or written about
total,the whole amount or number
"totally","completely, entirely"
touch,to put your hand or fingers on something
tough,strong and difficult to break or deal with
tour,a trip to see places or things
tourism,the business of traveling for pleasure
tourist,a person who travels for pleasure
tournament,a competition with many players or teams
toward,in the direction of something
"tower","a tall, narrow building or structure"
"town","a place where people live, smaller than a city"
toy,an object for children to play with
trace,a small sign or amount of something
track,a path or course for moving along
trade,the buying and selling of goods or services
tradition,a custom or belief passed down over time
traditional,following long-established customs or ways
traffic,vehicles moving on roads or people moving in a place
trail,a path through a natural area
train,a series of connected vehicles that run on tracks
transfer,to move from one place to another
transform,to change completely in form or appearance
transition,the process of changing from one state to another
translate,to change words from one language to another
transport,to carry people or goods from one place to another
transportation,the system or means of moving people or goods
trap,a device or method for catching something
travel,to go from one place to another
treat,to act in a certain way toward someone or something
treatment,care given to improve health or condition
tree,a tall plant with a trunk and branches
trend,a general direction in which something is changing or developing
trial,a test or experiment to see how something works
trick,a clever action meant to deceive or surprise
trigger,to cause something to start or happen
trip,a journey to a place and back again
troop,a group of people or soldiers
trouble,problems or difficulties
truck,a large vehicle for carrying goods
"true","correct or real, not false"
truly,in a sincere or real way
trust,to believe someone will do what is right
"truth","a fact or reality, not a lie"
try,to make an effort to do something
tube,a long hollow cylinder or pipe
tune,a melody or song
turn,to change direction or position
twice,two times
twin,one of two children born at the same birth
twist,to bend or turn something
type,a category or kind of something
typical,usual or normal for a person or thing
typically,usually or normally
ugly,unpleasant to look at
ultimately,in the end or finally
unable,not able to do something
uncertainty,doubt or lack of sure knowledge
uncle,the brother of your parent
unclear,not easy to understand or see
under,below or beneath something
undergo,to experience or go through something
underlie,to be the cause or basis of something
understand,to know the meaning of something
undertake,to begin or take on a task
unemployment,the state of not having a job
unfortunately,used to say something bad happened
uniform,clothing worn by members of a group
union,a group joined together for a purpose
"unique","one of a kind, unlike any other"
unit,a single thing or part of something larger
unite,to come together as one
universal,applying to all people or things everywhere
"universe","all space, time, matter, and energy that exist"
university,a school for higher education and research
unknown,not known or familiar
unless,except if something happens
unlike,different from or not similar to
unlikely,not likely to happen
until,up to the time when something happens
unusual,not common or normal
up,toward a higher place or position
update,to make something more modern or accurate
upon,on or immediately after something
upper,higher in position or level
upset,unhappy or worried
urban,relating to a city or town
urge,a strong desire or need to do something
use,to do something with a purpose
useful,helpful or able to be used well
user,a person who uses something
usual,normal or regular
usually,most of the time
valley,low land between hills or mountains
valuable,worth a lot of money or importance
value,how much something is worth
van,a vehicle for carrying goods or people
variable,something that can change or vary
variation,a change or difference in something
variety,a number of different things
various,different kinds of something
vary,to change or be different
vast,very large in size or amount
vegetable,a plant or part eaten as food
vehicle,a machine used for transport
venture,a risky or new business activity
verb,a word that shows action or state
version,a form or type of something
versus,against or compared to
very,to a high degree or extremely
vessel,a container or ship for carrying things
veteran,a person with long experience or military service
via,by way of or through a place or method
vice,a bad habit or immoral behavior
victim,a person harmed by something bad
victory,winning in a contest or battle
video,a recording of moving images and sound
view,to look at or see something
village,a small group of houses in the countryside
violence,use of physical force to hurt others
violent,using strong physical force causing harm
"virtually","almost or nearly, but not completely"
virus,a tiny germ that can cause illness
visible,able to be seen with the eyes
vision,the ability to see or imagine
visit,to go see someone or someplace
visitor,a person who goes to see someone
visual,related to seeing or sight
vital,very important or necessary for life
voice,the sound made when speaking or singing
volume,the amount of sound or space inside
"voluntary","done by choice, not forced"
volunteer,a person who offers to help freely
vote,to choose or decide by expressing opinion
voter,a person who votes in an election
wage,money earned for work done
wait,to stay until something happens
wake,to stop sleeping or cause to stop
walk,to move on foot at a normal pace
wall,a vertical structure that divides or supports
wander,to move around without a fixed direction
want,to desire or wish for something
war,a fight between countries or groups
warm,having a moderately high temperature
warn,to tell someone about possible danger
wash,to clean with water and soap
waste,to use carelessly or throw away
watch,to look at something carefully
water,a clear liquid needed for life
wave,to move hand to greet or signal
way,a method or path to get somewhere
we,used by a speaker to include themselves and others
weak,not strong or easily broken or hurt
weakness,a lack of strength or power
wealth,a large amount of money or possessions
wealthy,having a lot of money or possessions
weapon,an object used to cause harm or damage
wear,to have clothes or accessories on your body
"weather","the state of the air outside, like rain or sun"
web,a network of fine threads made by a spider
website,a set of related web pages on the internet
wed,to get married to someone
week,a period of seven days
"weekend","the end of the week, usually Saturday and Sunday"
weekly,happening once every week
weigh,to find out how heavy something is
weight,how heavy something is
weird,strange or unusual
welcome,a friendly greeting or reception
welfare,help or support for people in need
well,in a good or healthy way
west,the direction where the sun sets
western,relating to the west or Western countries
wet,covered or soaked with water
what,asking for information about something
"whatever","anything or everything, no matter what"
wheel,a round object that turns and helps movement
when,at what time
whenever,at any time that
where,in or at what place
whereas,used to show contrast between two facts
wherever,in or at any place that
whether,expressing a choice between options
which,asking to choose one or more from a set
while,during the time that
whilst,during the time that (formal or old-fashioned)
whisper,to speak very quietly
white,the color of snow or milk
who,asking about a person
whole,complete or entire
why,asking for a reason
wide,measuring a large distance from side to side
widely,over a large area or by many people
wife,a married woman
"wild","living in nature, not tame"
will,a legal paper for property after death
win,to be first or succeed in a contest
wind,air moving outside
window,an opening in a wall with glass
wine,an alcoholic drink made from grapes
wing,a part of a bird or airplane for flying
winner,a person who wins
winter,the coldest season of the year
wipe,to clean by rubbing
wire,a thin metal thread
wise,showing good judgment or knowledge
wish,to want something to happen
with,together or having
withdraw,to take back or remove
within,inside or inside the limits of
without,not having or lacking
witness,a person who sees an event happen
woman,an adult female human
wonder,to feel curiosity or amazement
wonderful,very good or amazing
wood,material from trees
wooden,made of wood
word,a unit of language
work,to do a job or task
worker,a person who works
world,the Earth and all life on it
worry,to feel anxious or concerned
worth,having value or importance
would,used to show a condition or future in the past
wound,an injury to the body
wrap,to cover something by folding
write,to form letters or words on paper
writer,a person who writes
wrong,not correct or true
yard,an area of land next to a house
yeah,informal yes
year,a period of 12 months
yellow,a color like ripe lemons
yes,used to agree or confirm something
yesterday,the day before today
"yet","up to now, still"
yield,to give way or produce something
you,used to refer to the person spoken to
young,having lived for a short time
yourself,used to emphasize the person spoken to
youth,the time when someone is young
zone,an area with specific characteristics or rules
